ssn_org,ssn_org_cln
00o383879F.3,INVALID
03424.210,INVALID
0u05.123060,INVALID
002-29-8401,002298401
00890627-6,008906276
0090.26814,009026814
002015262,002015262
0086.322,0086322
005482518,005482518
0229258.0,02292580
0-06257506,006257506
008-73-5955,008735955
008702265,008702265
00317321-7,003173217
003666373,003666373
0018-59623,001859623
06887.9,INVALID
00.844258,00844258
006-38-5533,006385533
008-03-0111,008030111
02-05044,INVALID
0021214-7,00212147
009281990,009281990
00-8732,INVALID
00147282aK.7,INVALID
0095610-4,00956104
002342481,002342481
Uk003S74.4193,0003S744193
005236146,005236146
00937484-3,009374843
0035056.16,INVALID
0016.23,INVALID
0067-4342m1,INVALID
s-008851861,008851861
00327.5904,INVALID
00818.3,INVALID
00.4833K49NO0,INVALID
001-35-6979,001356979
009-31-8959,009318959
0082812-65,008281265
0050.37930,005037930
00525784r.6,INVALID
003947.246,003947246
004801307,004801307
0086735.94,008673594
007052815,007052815
00964.2061,009642061
036901.50,03690150
008-72-9674,008729674
00433-8236,004338236
005-72-5418,005725418
009-54-9954,009549954
00727061.9,007270619
002-00-2748,002002748
0041815.22,004181522
00h7c597-9t65,INVALID
0066.78103,006678103
t0J01614-373,INVALID
00939-0002,009390002
008-58-6386,008586386
0079.86984,INVALID
081694.1,0816941
0p0.450150w9,INVALID
001074750,001074750
002216043,002216043
003-60-6590,003606590
004-98-9853,004989853
006-99-2181,006992181
003663116,003663116
007.001361,007001361
002041722,002041722
0059455.44,INVALID
00503.9,INVALID
0255-73,INVALID
004089886,004089886
0086.82466,008682466
002-15-6426,002156426
001824208,001824208
007713309,007713309
003571198,003571198
007537094,007537094
008052358,008052358
009-46-6892,009466892
001572.0,INVALID
05.513660,05513660
008-469X97T7,INVALID
006-91-1150,006911150
00.6582021,006582021
0080-93038,008093038
008894816,008894816
007378011,007378011
001712.149,001712149
004375709,004375709
0.02596,INVALID
008I229-749,0080229749
006-21-7112,006217112
00.5212073,005212073
00319-8603,003198603
0063-082,INVALID
006-95-0342,006950342
0034.2863,00342863
d00.420762q2,INVALID
0411-55,INVALID
0.50218,INVALID
0049.42551,INVALID
002-44-4425,002444425
003607478,003607478
009-02-0923,009020923
00978627.8,INVALID
006426-611,006426611
004517141,004517141
003-84-9955,003849955
009553283,009553283
001-35-0786,001350786
00539-9661S,INVALID
001350.786,001350786
002745120,002745120
0019.94428,001994428
004457396,04457396
009-14-5825,009145825
005456-493,005456493
0054832-41,005483241
009991182,009991182
008j39.g1P827,INVALID
002-34-3595,002343595
009260085,009260085
009-62-5825,009625825
005-61-6712,005616712
001975078,001975078
002415228,002415228
006-03-7871,006037871
0.L07080799,007080799
007-43-1139,007431139
031-621,INVALID
00305102-3,003051023
003-19-6318,003196318
008118.3,INVALID
0030910-59,003091059
0.01802139,01802139
00397093.7,INVALID
0034.29245,INVALID
004-73-8953,004738953
009-70-7774,009707774
0-0417655,00417655
00-690646Q4,INVALID
071507.07,INVALID
002576036,002576036
002-35-3064,002353064
0.00157,INVALID
007-58-6308,007586308
003-05-2529,003052529
0055-389,0055389
y00o93.74843,INVALID
007-33-3730,007333730
003-89-0949,003890949
0020263.23,002026323
0.07201070,INVALID
0.06801255,INVALID
0086.5O2994,0086502994
R0J-01276547,INVALID
005-11-7192,005117192
007-03-4169,007034169
004.549668,004549668
007440531,007440531
00361-6990,003616990
007919672,007919672
002-20-0858,002200858
002217488,002217488
0059918-9,00599189
0064-67501,006467501
003205234,003205234
0-09p4940c07,009P4940C07
003-32-4557,003324557
00-5456493,005456493
0098210.84,9821084
002668-002,002668002
00385H.209Qx2,INVALID
0-06291,INVALID
0-0z9773955,009773955
001338387,001338387
0028888.47,INVALID
009-00-3533,009003533
001892347,001892347
0-59333,INVALID
009794213,009794213
00260504-4,002605043
0521-971,0521971
012.6219,INVALID
004671989-F,004671989
001991.321,001991321
0c0480134N-3,INVALID
H.00Q39V88955,INVALID
00337967-8,003379678
0011j362.02,INVALID
0-05039500,005039500
0776-28,INVALID
002-33-3639,002333639
bg0099397e-91,INVALID
007-69-0666,007690666
003-02-5776,003025776
005252810,005252810
007-20-3466,007203466
0056694.4F3,INVALID
005860.010,005860010
0.05817,INVALID
0-0914585,00914585
005826077,005826077
002-6121,0026121
005-03-9500,005039500
005297809,005297809
004533516,004533516
0.024963,INVALID
007.19043,00719043
006070-54,00607054
046-605,INVALID
002-96-4639,002964639
00331383.8,INVALID
006-63-1613,006631613
002821.885,002821885
0050d8481-7,005084817
005-46-2333,005462333
00548-7489,005487489
00.151849,00151849
0090.20923,009020923
004827200,004827200
009-70-5642,009705642
006742.396,006742396
00503950h.0,INVALID
004472409,004472409
0109.3948,INVALID
005053708,005053708
0.08814905,INVALID
006-27-9019,006279019
009-64-6027,009646027
00435.441,00435441
00Ra41s852-88,INVALID
009-47-9653,009479653
004-34-3117,004343117
vL00R7-414580,INVALID
005-18-8533,005188533
002137.6,INVALID
0.0i9G475260M,INVALID
00O527426.3,INVALID
005-93-8504,005938504
009488.4,INVALID
0050014.47,INVALID
004709851,004709851
006071784,006071784
001596919,001596919
00.618225F7I,INVALID
009-99-5882,009995882
00.8503905,008503905
004-16-9081,004169081
009842806,009842806
0-07444484,07444484
005674315,005674315
005d.316859,0055316859
008967-41T5,INVALID
003-18-9782,003189782
002.908406,002908406
00707884.3,INVALID
005447-64,00544764
00838.2,INVALID
07-44166,07441667
006e18.i1261,INVALID
008-92-3523,008923523
0044.82856,004482856
060-47697,06047697
0-0608vi4496,INVALID
005039500,005039500
003085010,003085010
008809.553,008809553
0045-57295,004557295
002-46-1092,002461092
007289820,007289820
003-44-9819,003449819
001s135-598,001135598
004-78-1174,004781174
00-10ez5736G5,INVALID
0A06r6J7-8130,INVALID
001-64-8255,001648255
00661434.0,006614340
00775582.8,INVALID
00896-3912,008963912
005837164,005837164
006243938,006243938
006807.130,006807130
002357.488,INVALID
00.7790163,0007790163
00304O72-71,INVALID
002-65-1553,002651553
004864523,004864523
008237162,008237162
035-928,INVALID
008-84-7803,008847803
00999.9667,009999667
009254904,009254904
00u714.2314,INVALID
006z.358J585,INVALID
001-27-2415,001272415
0u082.25b696,0008225696
05-1664,INVALID
002156545,002156545
00-5030053,005030053
002178814,002178814
00396-3862,003963862
0058-037,0058037
00-3385061,003385061
005-69-4232,005694232
007-49-3949,007493949
002577303,002577303
007191751,007191751
0030t8.3874x,INVALID
420.788,INVALID
008837501,008837501
003-60-0921,003600921
001-89-6150,001896150
006-26-1027,006261027
006103325,006103325
0-05893236,005893236
00.369700,00369700
006.865413,006865413
0914.66,INVALID
006.986890,006986890
002359-36,00235936
00122-0542,001220542
006770265,006770265
004-53-4306,004534306
0088459-20,008845920
004-22-6400,004226400
012.158,INVALID
007-05-5761,007055761
007689478,007689478
00-8222350,008222350
0.05740153,INVALID
006907661,006907661
0053b5096.5,INVALID
0-06562595,06562595
00299-7392,002997392
00e6N809-680,INVALID
64046-0,INVALID
0037-85882,003785882
0039103.4,00391034
00.cUq3713023,INVALID
m009634.725c,INVALID
0019.9572,00199572
006474-421,006474421
084.525,INVALID
008945655,008945655
001-87-6004,001876004
00718F51.8c8,INVALID
002769992,002769992
0b096151-02,INVALID
00-6198295,006198295
0057.6Q5135,00576Q5135
004KS693.693,INVALID
00205735.7,INVALID
0.0z9595082,INVALID
002-22-2318,002222318
00-7097177,007097177
00745273-0,007452730
006-33-4469,006334469
0064-81317,006481317
00645b-8q434,INVALID
004908-189,004908189
0060995-46,006099546
04.7365,INVALID
00231.2867,002312867
003-69-9757,003699757
008030178,008030178
00992-79,INVALID
005-20-0198,005200198
007-120569,007120569
00812-3431,008123431
006161021,006161021
007095801,007095801
00822-248,00822248
0d03063.G954,INVALID
004856538,004856538
0960.6221,09606221
003T3N1t42-30,INVALID
00-3989Q955,INVALID
006-30-6432,006306432
001-82-1597,001821597
00658-7343,006587343
0050.067,INVALID
0034Z5V.2695,INVALID
00764570.5,INVALID
003-75-7700,003757700
j00Ju.6928993,INVALID
007882697,007882697
005956047,005956047
0.07591634,INVALID
0012685-06,001268506
005-98-9343,005989343
0013.39068,001339068
00.95h34030,009534030
005122312,005122312
0-01945608,001945608
0-07307864,07307864
001800445,001800445
006306-432,006306432
0.037858k82,INVALID
0-13971,INVALID
053.282,INVALID
00411.0038,004110038
007-05-2815,007052815
008-809409b,INVALID
00365.7124,003657124
008891469,008891469
002842846,002842846
01-891517,01891517
009-09-0375,009090375
004-79-9994,004799994
0085905-75,008590575
0055044-5,00550445
001-64-2266,001642266
03512.377,03512377
007558836,007558836
006302.105,006302105
0099564-83,009956483
009p21216-0,009212160
005687846,005687846
007261377,007261377
0078-32481,007832481
009229853,009229853
001613.735,001613735
00591-1980,005911980
00312.0374,003120374
00518134.7,INVALID
00420-52,INVALID
0.09729101,INVALID
003-34-7709,003347709
00159-9894,001599894
00585-95,0058595
001481-094,001481094
009999667,009999667
00118-7147,001187147
002-38-8563,002388563
004549.66mD8,INVALID
0205194.0,02051940
002387-8,INVALID
03199-48,INVALID
0090130-52,009013052
0.058041,INVALID
G00H698689-0,INVALID
0086.9C8759,INVALID
00922360.6,009223606
0P0-W515294L8,INVALID
a004.2595y14,INVALID
005093122,005093122
005010861,005010861
07428-8,INVALID
698.896,INVALID
0052-30,INVALID
0556.640,0556640
003406398,003406398
004030943,004030943
00947-8368,009478368
0077-98Gj74O4,0077987404
00551.3412,005513412
00792-597,00792597
009462016,009462016
0-03089427,03089427
004-70-1674,004701674
01-8366,INVALID
07003-4,INVALID
006-21-0732,006210732
0085712.04,INVALID
00x7747-71r4,INVALID
007728609,007728609
007778628,007778628
004439810,004439810
0x03-873443l,INVALID
00965-8557,009658557
0035955.1,INVALID
007544100,007544100
00682238-1,006822381
09.415905,09415905
0r0.803H1070,INVALID
009415905,009415905
006-24-3938,006243938
007449042,007449042
013.36317,01336317
00839063-3,008390633
002-65-3649,002653649
002-0910r42,INVALID
0069-79162,006979162
00.114252,00114252
001845-405,001845405
008334-292,008334292
0637245-4,06372454
005-87-3004,005873004
005566832,005566832
00M13624-80,001362480
009-10-0309,009100309
007441213,007441213
0034523.5d0,INVALID
0010.23892,001023892
003576854,003576854
001-90-0351,001900351
008323122,008323122
085223-2,0852232
00416-607H2,INVALID
008374-6,INVALID
0OT0t62-84168,0OT06284168
02791.14,INVALID
00-7792509,007792509
005-96-9680,005969680
0055.06984,005506984
001229271,001229271
005885212,005885212
008-63-0099,008630099
00.6829701,006829701
008-288055,008288055
0-06709689,06709689
004346306,004346306
0097.07302,009707302
001-64-7087,001647087
00743767-6,007437676
00403.3k633,004033633
0o08894.816,INVALID
009o69378-9,009693789
0092.39972,009239972
00588.3037,005883037
0-05257846,005257846
009010.119y,INVALID
00.7527690,007527690
0036-967,0036967
008-085669,008085669
00160o6-758,0016006758
00139023.0,INVALID
005-21-9471,005219471
0-058W73004u,INVALID
0048-61165,004861165
007-54-4045,007544045
003122497,003122497
00615-7696,006157696
0-07246,INVALID
003-19-2178,003192178
0-02685382,02685382
007-88-1697,007881697
U0051w209B.17,INVALID
003304194,003304194
009-380,INVALID
006838-082,006838082
006.345634,006345634
007842352,007842352
005803506,005803506
008-20-3402,008203402
008380.857,008380857
B005g3-o88443,INVALID
002-27-0430,002270430
005559-150,005559150
00.6807594,006807594
006-36-6346,006366346
0.09878247,INVALID
00589-94,0058994
0072823.50,INVALID
0.096393,INVALID
008539545,008539545
003-67567,00367567
0067-88,INVALID
002-63-4474,002634474
00993011-0,009930110
00k30-X61638,INVALID
001-97-9546,001979546
008247927,008247927
006-35-9275,006359275
0041633-02,004163302
006.8405f40,006840540
00-192137,00192137
05759.50,INVALID
004708722,004708722
008569555,008569555
001.135598,001135598
009-43-3069,009433069
003-97-3552,003973552
006-16-4520,006164520
001427456,001427456
02.55633,INVALID
005510888,005510888
024.001,INVALID
004.877811,004877811
001-47-8105,001478105
003332318,003332318
0010017p1-Ss0,INVALID
07-667197,07667197
007-17-1567,007171567
00281248-9,002812489
00955259.8,INVALID
003P9-14690,003914690
0-t05Z840194,0t05z840194
008-50-7820,008507820
009786x277-Y,INVALID
0.0QX7225919,INVALID
0052-34213,005234213
008704900,008704900
005.823785,005823785
0005-881,INVALID
05845-41,INVALID
004-71-0482,004710482
00-3985161,003985161
00269276-8,002692768
001702626,001702626
063-73111,063731111
005085804,005085804
00.2230507,002230507
0.03973395,INVALID
008638391,008638391
008110733,008110733
00-4028468,004028468
001-46-1448,001461448
d006-43X7587,INVALID
00.786022rS8,INVALID
007580317,007580317
0.04213909H,INVALID
004-14-6274,004146274
07240-4,INVALID
00593677.9,INVALID
002-09-2952,002092952
00761730.5,007617305
0-08216634,08216634
00.8844261,008844261
003-95-9874,003959874
004-62-0756,004620756
003697-022,003697022
004.999,INVALID
0-08230094,08230094
0019.91321,001991321
003802005,003802005
007-93-4773,007934773
005-60-0054,005600054
006-47-4937,006474937
0-0485733,00485733
00305252-9,003052529
04.181522,04181522
0010-65977,001065977
00357.397,00357397
002640-557,002640557
008849744,008849744
0064937-13,006493713
00828202.6,INVALID
008230.842,008230842
001963578,001963578
7404.677,INVALID
00141916.9,001419169
005-70-8617,005708617
0CW03672.673,INVALID
00670-6520,006706520
0098512.15,INVALID
00303920.9,003039209
0060242-69,006024269
001527708,001527708
0035.05741,003505741
0083.50632,008350632
KF-00S7895561,INVALID
00-9029237,009029237
001-61-4373,001614373
006647863,006647863
003.53189W5,INVALID
00163.650,INVALID
0060429V8-8,INVALID
076452.0,INVALID
0034348K05-i,INVALID
00140-1173,001401173
0840-223,08402230
007374627,007374627
0033.44,INVALID
00722589-2,007225892
005600052,005600052
00600700-9,006007009
0-08849668,008849668
003444276,003444276
0051024Q.81,005102481
006-15-1685,006151685
002493120,002493120
0086.73312,008673312
005-434523,005434523
004166588,004166588
0179.79,INVALID
d0t0.770442I2,INVALID
002-46-3000,002463000
00U-56726R31z,INVALID
005-96-3303,005963303
0.969760,INVALID
001192451,001192451
004-91-1053,004911053
002-35-8967,002358967
006-34-9926,006349926
0-06Q178w97w0,006Q17897W0
009-63-5249,009635249
009700978,009700978
005476651,005476651
00TF77q77-283,INVALID
0076.80943,007680943
00-7632481,007632481
004904124,004904124
003774510,003774510
008.824360,008824360
00-05535,INVALID
0082H89-599,0082H89599
00615228.4,INVALID
005590032,005590032
009-59-9482,009599482
004.860054,INVALID
00267599.3,INVALID
00b.n2472763,0062472763
0056.98KE2q74,INVALID
0041152-90,004115290
00136147u-Y4,INVALID
009-39-3057,009393057
00392.7292,003927292
005860528,005860528
009819587,009819587
001-57-3717,001573717
00718.9Z1jf63,0071891563
009-07-8771,009078771
009-215248,009215248
001482.721,001482721
006.223871,006223871
005058281,005058281
00-7729880,007729880
003-01-8635,003018635
007680943,007680943
W00594v-5505,INVALID
00-7395322,007395322
006-16-0118,006160118
0068409-99,006840999
Q-006009450zA,INVALID
001-36-5790,001365790
006219637,006219637
002-82-9743,002829743
00107489.7,INVALID
005140294,005140294
00664-814,00664814
007728520,007728520
008291-1,0082911
00404xq-0508,INVALID
003-12-2497,003122497
003436779,003436779
0k074o0V-8112,INVALID
002-46-6760,002466760
002-15-2922,002152922
006601331,006601331
0057135-81,005713581
009947334,009947334
007-68-4753,007684753
002-9139,0029139
0.0EX8u769942,INVALID
004658307,004658307
001-7078,0017078
0-03008610,003008610
005463651,005463651
008450005,008450005
0055-21985,005521985
0-01176768,01176768
00667813-0,006678130
003512606,003512606
80-5664,INVALID
005971073,005971073
0-0203513,00203513
003782430,003782430
009469614,009469614
001143215,001143215
0094.89,INVALID
0061.60823,006160823
009308-076,009308076
00690-9412,006909412
003-85-6992,003856992
00-H720m0676,007200676
0090013.02,INVALID
0o-02i2009k65,INVALID
0M0443-n9810,INVALID
00378-3872,003783872
001353730,001353730
003887.5,INVALID
005-66-5597,005665597
z0.0U6412533,INVALID
0057111.53,005711153
003-38-2976,003382976
001-572614,001572614
003-89-7892,003897892
002-32-6732,002326732
002729557,002729557
001-84-1449,001841449
0-04106939,04106939
0.6023782,INVALID
0.04221732,INVALID
00-7476680,007476680
0017721.6,INVALID
00187391-3,001873913
0043337-21,004333721
0061726.52,INVALID
004-24-1749,004241749
003-59-3207,003593207
008.2246Fg2b8,INVALID
00.7123091,007123091
001751604,001751604
0.05465786,INVALID
002-92-4957,002924957
004803-304,004803304
019175.2,INVALID
0094786-17,009478617
008834930,008834930
0089848g-05,INVALID
001640908,001640908
009.951759,009951759
003250X47-7,INVALID
004-18-1522,004181522
00kT35.79B386,INVALID
Y00.O2190K769,0002190769
0-03601,INVALID
0-04i141693,004141693
00902-1684,009021684
00437-92,INVALID
00.4468640,004468640
008704.289,008704289
00970.6A792,INVALID
0078GQ0-453c6,INVALID
008-81-4905,008814905
0017327-61,001732761
04.86190,INVALID
L00C980.2206,INVALID
008725149,008725149
007-54-1438,007541438
00Ee12221-2K6,INVALID
00292503-2,002925032
008061133,008061133
00195-7863,001957863
009-35-9197,009359197
0069-38,INVALID
05-0417,INVALID
00500.593,00500593
005-90-3375,005903375
0-G01898580,001898580
009690398,009690398
001-40-4119,001404119
003627927,003627927
00u638706.6,INVALID
00222.9819,002229819
00.2325,INVALID
21132-3,INVALID
004996142,004996142
0-0260044,00260044
007-16-5284,007165284
008711966,008711966
011.0047,INVALID
0054.5389,00545389
0Nh027.831X47,INVALID
003897.80,00389780
002-31-9327,002319327
00917-6337,009176337
0087-29674,008729674
0064128.22,INVALID
005-03-0053,005030053
008539.507,008539507
0020xP3j2-650,INVALID
003255344,003255344
007-05-2813,007052813
009977051,009977051
0026018-9,00260189
003-96-5834,003965834
y0011-45399,001145399
003198.491,003198491
008548-975,008548975
0.82102,INVALID
003.11278,00311278
008477543,008477543
00402799-7,004027997
001-29-4669,001294669
053-411,INVALID
007.008105,007008105
0-03452q695,INVALID
00.9291189,009291189
004382.7,INVALID
001-79-6925,001796925
Q008q71h-3795,INVALID
004.406867,004406867
0-08764846,008764846
0040473-33,004047333
0253.253,INVALID
0-12841,INVALID
00.4606557,INVALID
008-29-1514,008291514
00.31126sk5C4,INVALID
x00171-t2032,INVALID
002-39-2222,002392222
001425927,001425927
0014.95564,001495564
0045597.25,004559725
008765308,008765308
007619849,007619849
0043.95932,004395932
0LG06-17o2652,INVALID
042127.8,INVALID
009-25-2504,009252504
00378145-7,003781457
003545737,003545737
0012.6P8681,001268681
00621-7100,006217100
008722966,008722966
0-0960841,00960841
009470294,009470294
00189360.6,INVALID
009312859,009312859
001927735,001927735
001-26-7227,001267227
0026-04606,002604606
0-0p5P622272,005P622272
0076-90666,007690666
00-6362191,006362191
004377764,004377764
002-89-8190,002898190
00-5Woc967384,INVALID
059328.6,INVALID
00830.92,INVALID
005616421,005616421
009440151,009440151
004-32-0746,004320746
00-9365496,09365496
0058-65906,005865906
006070.430,006070430
0025-28114,002528114
0r01296w0X.78,INVALID
00550167.2,005501672
0207.950,INVALID
0B0183.262w9,INVALID
002-44-0989,002440989
005-54-3182,005543182
0-02921789,02921789
006-40-6064,006406064
003-61-2651,003612651
002-84-2697,002842697
001-44-9353,001449353
005843579,005843579
00.5301,INVALID
00621-0732,006210732
002-78-0442,002780442
0.07103479,INVALID
00C8AK.181110,INVALID
00118714.I7,INVALID
0.08729674,INVALID
007.962983,007962983
002135852,002135852
00.1614373,001614373
00308.6492,INVALID
002-63-2661,002632661
0036-86486,003686486
0-05322906,005322906
003433.3,INVALID
00126-2198,001262198
006-20-7647,006207647
00159.9076,001599076
008-89-1469,008891469
0018943.15,INVALID
004156933,004156933
00-77819,0077819
0X05-Y033370P,INVALID
009-36-5496,009365496
0034163-50,003416350
0p.0k6073862i,INVALID
00103714-7,001037147
004-63800,00463800
0029139.47,INVALID
0624-67,INVALID
00172408.1,INVALID
009272189,009272189
005-37-7231,005377231
004559733,004559733
002407021,002407021
006-43-1010,006431010
002.641578,002641578
002T5817.39,INVALID
02542.729,02542729
00.7545005,INVALID
004.114011,004114011
00.3693666,INVALID
00J.2474767,INVALID
s006547-061D,INVALID
0079.25975,007925975
004876969,004876969
06201-5,INVALID
009560942,009560942
0T0-9016056n,INVALID
001248884,001248884
003-01-4645,003014645
0082417.23,008241723
002574357,002574357
009Ny685.6b67,INVALID
009892887,009892887
074332.13,07433213
009442291,009442291
0052562-68,005256268
00-8067857,008067857
00644575.5,INVALID
0501.84,INVALID
006-49-2704,006492704
001-68-8135,001688135
00317.2,INVALID
0-01188036,01188036
008964398,008964398
0096-71,INVALID
00-4712927,004712927
00130l-4706,0013014706
0.02240,INVALID
004952724,004952724
0.03982346,INVALID
0-02753253,002753253
004-48-3189,004483189
0034063-98,003406398
006.027819,006027819
0985-505,INVALID
785.531,INVALID
00.7346130,007346130
00697.7u558,0069770558
003-97-2176,003972176
002004166,002004166
0624277.9,06242779
00-6764383,006764383
0051266.09,005126609
008733127,008733127
003-00-8028,003008028
009-63-8305,009638305
00265996.1,INVALID
00829-4928,008294928
Z0v022727.95,INVALID
0032.10228,003210228
007207-48,00720748
001-75-7892,001757892
004422830,004422830
009.144639,009144639
007-48-5604,007485604
009238551,009238551
0073432-00,007343200
001xu426-G301,INVALID
0030692.24,INVALID
0p0959189-4,INVALID
008278774,008278774
001215728,001215728
002090871,002090871
0.06020660,INVALID
009-80-6497,009806497
008-60-9698,008609698
006112200,006112200
001-46-5845,001465845
003.7241,INVALID
00184.a6Rr251,INVALID
001219-440,001219440
g0-02705785,INVALID
003-34-8308,003348308
001315314,001315314
0015621-8,00156218
00272.2141,002722141
005617719,005617719
U.0d01751604x,INVALID
004-30-6922,004306922
006141847,006141847
007-77-8628,007778628
003-57-7312,003577312
00N129H4-56P9,INVALID
005212556,005212556
002-44-1009,002441009
0045.87764,004587764
005806498,005806498
007068825,007068825
00247r4-76v7,INVALID
00-8471487,008471487
003-40-6398,003406398
0.187147,INVALID
002Y1.4397A6,INVALID
0051-6156,00516156
005-600052,005600052
007984957,007984957
005308583,005308583
009161308,009161308
0.08062012,INVALID
003-65-5808,003655808
006-92-6107,006926107
004786889,004786889
008735103,008735103
0039-216,INVALID
004-46-5681,004465681
061-6273,0616273
009.542823,009542823
009-44-9841,009449841
MW-0069065d38,INVALID
002594.163,002594163
00-635849,00635849
00200-4,INVALID
004-65-4270,004654270
004-28-4222,004284222
003.984074,003984074
009-82-8901,009828901
009387979,009387979
00995256-3,009952563
009673623,009673623
0.07272510,INVALID
006-12-5069,006125069
00722-2,INVALID
0-08471487,08471487
0017.72360,001772360
002N-814925,INVALID
004207108,004207108
002623316,002623316
007-19-4523,007194523
C0011457-66,001145766
00796423-6,007964236
0051d38280-oL,INVALID
0095U1.1v23X2,INVALID
009-27-3845,009273845
008-52-0727,008520727
0G0328.8185,INVALID
008998369,008998369
f0080.87t252,008087252
0069.51305,INVALID
H0088914.u69n,INVALID
0.23176,INVALID
0-084013,INVALID
007-18-4074,007184074
001-66-6403,001666403
0051q1-S5494,0051915494
009.145825,INVALID
006P746.280,006P746280
00491602.0,004916022
007-59-3251,007593251
06.0174,INVALID
004647270,004647270
0053294.98,INVALID
019002-85,01900285
002382113,002382113
0071j9.8X992,INVALID
006762997,006762997
0077.69362,007769362
00736.3282,007363282
D0082.4V40G83,INVALID
006154302,006154302
0020835-13,002083513
007-24-3584,007243584
00j73.767X96,INVALID
009815549,009815549
008896233,008896233
0-07274345,007274345
00-883e4969O,INVALID
009194504,009194504
004.576569,INVALID
00.4633421,004633421
00585202-1,005852021
01.197171,INVALID
009053.317,009053317
003538440,003538440
007.2248,INVALID
0Hr054.2D9327,0hr0542d9327
0087-36294,008736294
00.3219058,003219058
002604812,002604812
00.7670584,007670584
007-34-8094,007348094
005-50-8850,005508850
006-78-0411,006780411
0124894.5,INVALID
00276-00,INVALID
008-46-5130,008465130
0-02417435,002417435
002792936,002792936
001861249,001861249
00570-5363,005705363
0T.02G44428E5,INVALID
0036101-68,003610168
004-92-2928,004922928
0.02446,INVALID
0C08u783-079,0C08U783079
001-19-1039,001191039
002-17-1424,002171424
006-13-5805,006135805
009950949,009950949
00112038-6,001120386
002U05194-0,002051940
00882.9105,008829105
006206082,006206082
004-91-7380,004917380
006186962,006186962
008-17-6393,008176393
001989446,001989446
007-09-6945,007096945
0-06649278,06649278
008-59-0575,008590575
o00808G4-C076,INVALID
003.9270,INVALID
00658.9,INVALID
001189951,001189951
003-69-9985,003699985
0-087rp38165,INVALID
W00877.0k240,W00877240
004-80-3304,004803304
003-80-0843,003800843
00I9322-L456,INVALID
008-77-7184,008777184
00753t9652-M,INVALID
00.1155875,INVALID
001-87-4697,001874697
0044-19815,004419815
007-78-9403,007789403
008-09-7376,008097376
0012088n6.7,INVALID
0.07542084,INVALID
008-731,INVALID
008-43777U5,INVALID
80-8406,INVALID
0-0716656,00716656
09595-0,INVALID
0F.0a4557g295,INVALID
00303-4,INVALID
001-10-2927,001102927
00.8281266,INVALID
0050497V-38,INVALID
008486308,008486308
009-06-4068,009064068
001-80-7971,001807971
004619189,004619189
008824092,008824092
0034923.04,INVALID
00281304.8jd,INVALID
0071-24276,007124276
07703-6,INVALID
004-219265,004219265
004-5007,0045007
001C127.12I3,INVALID
067139.8,INVALID
0.584579,INVALID
00421025.2,INVALID
0075-876,00758760
007-187109,007187109
0-90861,INVALID
07.9335,INVALID
001026159,001026159
0059-12345,005912345
080-4350,INVALID
006-693103,006693103
002026323,002026323
0046507.1,INVALID
00722-9,INVALID
00.5231365,005231365
003-17-9880,003179880
003343.334,INVALID
00.651326,00651326
008-69-8768,008698768
002454.246,002454246
0094623-97,009462397
01-48715,INVALID
00L8z40-3198,INVALID
00Ed845Q-5360,INVALID
001-89-3606,001893606
0817-244,08172442
0088914-69,008891469
0013-48824,001348824
004-66-6656,004666656
003-120799,003120799
005081922,005081922
001184299,001184299
002-54-2729,002542729
00531-2,INVALID
003-260440,003260440
001.79695,00179695
07541-438,07541438
006631.613,006631613
002-54-8031,002548031
0-06650874,006650874
005.1870,INVALID
004-71-8150,004718150
h0095384-9g9,INVALID
0034192-04,003419204
007-19-6610,007196610
001-07-9455,001079455
004-37-9006,004379006
007946258,007946258
0046606.9,00466069
0019m.8025H1,INVALID
002-25-4014,002254014
04-6545,INVALID
006.386914,006386914
004217909,004217909
00605-6050,006056050
006627612,006627612
0-073486,00734864
005408.495,005408495
0081-67272,008167272
0070992-48,007099248
X.006865413,INVALID
007-13-6297,007136297
007429401,007429401
00262072.5,INVALID
00521.7036,005217036
002-56-1911,002561911
002251.804,002251804
0-01116059,01116059
0-02286426,002286426
005675395,005675395
0-09387979,09387979
0078178.54,007817854
003550-791,003550791
005-37-5355,005375355
004658.122,004658122
009-90-9935,009909935
001279138,001279138
005-83-3983,005833983
00.42139e09,INVALID
00-6725818,006725818
0.8378848,INVALID
002574-357,002574357
008337.815,008337815
00-5x289612,INVALID
001C96838.Q4,INVALID
006-20-2841,006202841
04366.3,INVALID
007-07-3006,007073006
008-58-1017,008581017
0Q0l99d28-277,INVALID
07425-5,INVALID
00871.8156,008718156
003-91-0434,003910434
008-32-7022,008327022
0.06219,INVALID
001638521,001638521
007.441466,007441466
00365-5808,003655808
007.63281,00763281
001169-927,001169927
0027-54299,002754299
0q02059G611.Y,INVALID
008260645,008260645
007605373,007605373
003-96-3164,003963164
00998.1914,009981914
003-84-9904,003849904
0eU0.7442162,INVALID
0047.1123,00471123
06627-62,0662762
00-2753253,002753253
00569.4037,005694037
0037155.7,INVALID
001622436,001622436
009490w9-2P5,00949092P5
006TM75v9-954,INVALID
0.09403665,INVALID
005109559,005109559
0094r402.23,INVALID
001-21-9440,001219440
005-38-5611,005385611
001-65-3383,001653383
00-m2r368248,INVALID
003434805,003434805
0K0190.39H92,0K019039H92
00488.2185,004882185
006.445755,006445755
00ls209-47P96,INVALID
0018-69199,001869199
